Year,January,February,March,April,May,June,July,August,September,October,November,December
1983,0,0,12.2,59.5,85.3,175.9,244.8,206.8,41,133.4,7.8,0
1984,0,0,3,54.6,81.2,116.9,188.4,163.6,170.1,57.3,0,0
1985,0,0,60.5,17.3,141.7,250.6,233.3,244.7,176.6,61,0,0
1986,0,0,39.6,15.4,86,183.3,221.7,243,315.8,83.8,19.6,0
1987,0,0,13.5,44.6,104.5,83.9,143.7,238.5,94.6,100.1,0,0
1988,10.5,0,0,57.9,94.6,135.5,175,309.5,382.1,36.9,0,0
1989,0,0,7.3,48.9,215.1,250.8,188.2,206.4,179.6,85.2,0,0
1990,0,0,0,107.4,199.5,94.9,198.6,181,187,141.4,0,0
1991,0,0,0,114.5,336,180.1,192.9,268.5,190.8,33.9,0,0
1992,0,0,1.3,158.2,176.8,162.9,196.4,231.5,230.3,46.6,0,0
1993,0,0,13.5,8.6,174.4,170.5,189.7,271.1,178.3,63.3,0,0
1994,0,0,7.3,72.5,114.4,239,142.5,367.2,261.3,208.1,0,0
1995,0,0,0,101,123,145,154,409,189,-999.9,-999.9,-999.9
1996,0,0,0,49,165,225,260,257,191,128,0,0
1997,0,0,4,81,238,233,172,193,203,115,-999.9,-999.9
1998,3.9,6.3,9,55.3,143,187.5,243.4,203.2,276.1,135.1,0.4,3
1999,0,16.8,12.6,65.2,96.9,170.9,325.3,224.6,274,200.1,1.7,0.1
2000,1.2,0,8.3,64,93,208,195.7,264.3,250,75.8,0.1,0.3
2001,0.5,5,0.8,87.8,197.2,216.6,238.6,175,336,91,2.1,11.7
2002,0.9,1.7,34.1,88.5,102.7,192,294.9,217.8,244.5,155.2,1.2,0.8
2003,6.5,3.1,7.7,51.9,114.4,215.8,162.2,281.5,219.2,79.6,8.1,0.4
2004,22,0.4,16.2,88.7,209.8,138.9,212.9,250.1,216.9,104.6,2.3,0.5
2005,0.1,0.9,38.8,44.7,155.5,192.7,184.5,199,460.8,97.6,1.1,0
2006,5,1.1,26.6,49.9,161.4,73,261.9,327.9,380.3,130.4,3.5,3.3
2007,0.3,1.4,3.5,63.2,183.5,206.7,242.4,298.1,225.5,140.5,0.2,0.3
2008,0,6.9,10.9,64.9,127.5,175.8,240.1,293.2,349.9,143.7,1.6,3.8
2009,1.2,0,0.5,162.9,119,209.5,166.1,386.2,226.8,143.6,10.4,0.1
2010,0,0,10.6,63.7,117.2,175.7,219.6,199.4,200.6,181.1,8.4,4.5
2011,0.1,3.2,1.6,35.4,109.1,137.6,192,222.5,277.4,146.4,3,0
2012,0,6,1.1,86.1,232,141.3,301.4,218.4,271.8,159.2,3.7,3.1
2013,1.5,16,10,104.9,114.4,161.9,153.5,134.5,207.9,131.9,1.3,2.1
2014,2,1.9,14.2,153.7,112.9,106.7,157.8,191.8,329.2,102,4,0
2015,1.2,2.9,44.7,13.4,90.4,173.9,173,,,,,
2016,,,,,,,,,,,,
2017,,,,,,,,,,,,
2018,,,,,,,,,,,,
2019,,,,,,,,,,,,
2020,,,,,,,,,,,,
2021,,,,,,,,,,,,
2022,,,,,,,,,,,,
2023,,,,,,,,,,,,
2024,,,,,,,,,,,,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
2027,,,,,,,,,,,,
2028,,,,,,,,,,,,
2029,,,,,,,,,,,,
2030,,,,,,,,,,,,
2031,,,,,,,,,,,,
2032,,,,,,,,,,,,
